time,open,high,low,close,volume,exchange,pair
2024-11-27 03:41:00,92.58,92.6,92.56,92.6,18.53470299,Coinbase,LTC-USD
2024-11-27 03:40:00,92.51,92.59,92.45,92.57,75.30037018,Coinbase,LTC-USD
2024-11-27 03:39:00,92.57,92.6,92.51,92.52,70.11429622,Coinbase,LTC-USD
2024-11-27 03:38:00,92.58,92.6,92.5,92.51,77.87212251,Coinbase,LTC-USD
2024-11-27 03:37:00,92.6,92.67,92.45,92.57,93.50618786,Coinbase,LTC-USD
2024-11-27 03:36:00,92.66,92.72,92.62,92.63,66.60169954,Coinbase,LTC-USD
2024-11-27 03:35:00,92.63,92.71,92.63,92.66,166.09403207,Coinbase,LTC-USD
2024-11-27 03:34:00,92.53,92.63,92.52,92.63,112.84781336,Coinbase,LTC-USD
2024-11-27 03:33:00,92.74,92.74,92.55,92.57,226.41226807,Coinbase,LTC-USD
2024-11-27 03:32:00,92.83,92.87,92.64,92.75,119.21460121,Coinbase,LTC-USD
2024-11-27 03:31:00,92.92,92.94,92.78,92.82,79.69160753,Coinbase,LTC-USD
2024-11-27 03:30:00,92.9,92.93,92.86,92.92,70.1277496,Coinbase,LTC-USD
2024-11-27 03:29:00,92.81,92.9,92.8,92.89,49.2104196,Coinbase,LTC-USD
2024-11-27 03:28:00,92.82,92.86,92.75,92.8,152.87696827,Coinbase,LTC-USD
2024-11-27 03:27:00,92.89,92.93,92.78,92.79,247.79103545,Coinbase,LTC-USD
2024-11-27 03:26:00,92.86,92.9,92.83,92.89,31.45421958,Coinbase,LTC-USD
2024-11-27 03:25:00,92.76,92.86,92.75,92.86,43.46213347,Coinbase,LTC-USD
2024-11-27 03:24:00,92.67,92.82,92.63,92.78,189.74969008,Coinbase,LTC-USD
2024-11-27 03:23:00,92.59,92.67,92.57,92.65,109.50961624,Coinbase,LTC-USD
2024-11-27 03:22:00,92.8,92.8,92.52,92.58,1338.30339203,Coinbase,LTC-USD
2024-11-27 03:21:00,92.96,92.97,92.8,92.8,227.82009789,Coinbase,LTC-USD
2024-11-27 03:20:00,92.94,92.96,92.86,92.93,69.58313721,Coinbase,LTC-USD
2024-11-27 03:19:00,92.97,92.98,92.89,92.9,44.42466131,Coinbase,LTC-USD
2024-11-27 03:18:00,92.88,92.99,92.88,92.95,43.57851425,Coinbase,LTC-USD
2024-11-27 03:17:00,92.85,93.07,92.85,92.87,317.87614608,Coinbase,LTC-USD
2024-11-27 03:16:00,93.11,93.15,92.83,92.85,143.92131315,Coinbase,LTC-USD
2024-11-27 03:15:00,93.13,93.2,93.06,93.08,49.315541,Coinbase,LTC-USD
2024-11-27 03:14:00,93.17,93.18,93.09,93.13,111.04938321,Coinbase,LTC-USD
2024-11-27 03:13:00,93.1,93.17,93.07,93.17,43.03859341,Coinbase,LTC-USD
2024-11-27 03:12:00,93.06,93.15,93.02,93.1,125.02975065,Coinbase,LTC-USD
2024-11-27 03:11:00,93.12,93.13,93.04,93.06,70.89718216,Coinbase,LTC-USD
2024-11-27 03:10:00,92.9,93.13,92.89,93.13,88.27461355,Coinbase,LTC-USD
2024-11-27 03:09:00,92.94,92.95,92.82,92.88,98.88726825,Coinbase,LTC-USD
2024-11-27 03:08:00,92.93,93.0,92.87,92.93,216.55417459,Coinbase,LTC-USD
2024-11-27 03:07:00,93.12,93.12,92.91,92.91,400.82888317,Coinbase,LTC-USD
2024-11-27 03:06:00,93.01,93.16,92.94,93.12,124.75537728,Coinbase,LTC-USD
2024-11-27 03:05:00,93.15,93.19,93.01,93.03,113.70132811,Coinbase,LTC-USD
2024-11-27 03:04:00,93.16,93.2,93.04,93.14,451.98158275,Coinbase,LTC-USD
2024-11-27 03:03:00,93.0,93.15,92.95,93.15,359.43112419,Coinbase,LTC-USD
2024-11-27 03:02:00,93.12,93.21,92.97,92.98,1456.31872407,Coinbase,LTC-USD
2024-11-27 03:01:00,93.13,93.19,93.06,93.1,74.50867823,Coinbase,LTC-USD
2024-11-27 03:00:00,93.19,93.21,93.11,93.13,670.16455092,Coinbase,LTC-USD
2024-11-27 02:59:00,93.23,93.24,93.19,93.19,14.9643936,Coinbase,LTC-USD
2024-11-27 02:58:00,93.22,93.24,93.2,93.23,90.17611668,Coinbase,LTC-USD
2024-11-27 02:57:00,93.25,93.26,93.21,93.23,23.75443314,Coinbase,LTC-USD
2024-11-27 02:56:00,93.26,93.28,93.21,93.26,241.93661123,Coinbase,LTC-USD
2024-11-27 02:55:00,93.29,93.31,93.24,93.26,247.092999,Coinbase,LTC-USD
2024-11-27 02:54:00,93.32,93.36,93.25,93.28,477.93507892,Coinbase,LTC-USD
2024-11-27 02:53:00,93.45,93.45,93.28,93.3,841.92173517,Coinbase,LTC-USD
2024-11-27 02:52:00,93.46,93.49,93.39,93.46,106.40053539,Coinbase,LTC-USD
2024-11-27 02:51:00,93.33,93.44,93.33,93.44,52.8614594,Coinbase,LTC-USD
2024-11-27 02:50:00,93.47,93.47,93.31,93.34,89.21084428,Coinbase,LTC-USD
2024-11-27 02:49:00,93.27,93.51,93.27,93.42,285.89778188,Coinbase,LTC-USD
2024-11-27 02:48:00,93.32,93.32,93.14,93.27,220.57746833,Coinbase,LTC-USD
2024-11-27 02:47:00,93.42,93.42,93.23,93.3,44.3163658,Coinbase,LTC-USD
2024-11-27 02:46:00,93.37,93.47,93.34,93.43,170.28628674,Coinbase,LTC-USD
2024-11-27 02:45:00,93.25,93.37,93.22,93.37,90.59735983,Coinbase,LTC-USD
2024-11-27 02:44:00,93.27,93.32,93.21,93.23,120.73857244,Coinbase,LTC-USD
2024-11-27 02:43:00,93.01,93.27,93.01,93.2,143.32087352,Coinbase,LTC-USD
2024-11-27 02:42:00,93.02,93.08,92.99,93.0,55.70479866,Coinbase,LTC-USD
2024-11-27 02:41:00,93.13,93.18,92.98,93.01,250.38992208,Coinbase,LTC-USD
2024-11-27 02:40:00,93.16,93.26,93.01,93.13,106.33424644,Coinbase,LTC-USD
2024-11-27 02:39:00,93.15,93.32,93.08,93.14,234.41526428,Coinbase,LTC-USD
2024-11-27 02:38:00,93.18,93.2,93.08,93.13,66.00804971,Coinbase,LTC-USD
2024-11-27 02:37:00,93.36,93.36,93.15,93.15,243.83743116,Coinbase,LTC-USD
2024-11-27 02:36:00,93.36,93.51,93.31,93.38,327.25123678,Coinbase,LTC-USD
2024-11-27 02:35:00,93.15,93.44,93.14,93.37,114.06301941,Coinbase,LTC-USD
2024-11-27 02:34:00,93.28,93.28,93.14,93.15,41.64178053,Coinbase,LTC-USD
2024-11-27 02:33:00,93.34,93.34,93.19,93.26,243.55903264,Coinbase,LTC-USD
2024-11-27 02:32:00,93.28,93.43,93.21,93.34,173.5121609,Coinbase,LTC-USD
2024-11-27 02:31:00,93.5,93.5,93.28,93.31,77.59314271,Coinbase,LTC-USD
2024-11-27 02:30:00,93.62,93.63,93.4,93.51,186.75344545,Coinbase,LTC-USD
2024-11-27 02:29:00,93.43,93.67,93.43,93.61,92.32617079,Coinbase,LTC-USD
2024-11-27 02:28:00,93.58,93.66,93.39,93.43,245.34895482,Coinbase,LTC-USD
2024-11-27 02:27:00,93.39,93.64,93.39,93.58,1131.7709074,Coinbase,LTC-USD
2024-11-27 02:26:00,93.31,93.47,93.22,93.39,485.05458332,Coinbase,LTC-USD
2024-11-27 02:25:00,93.13,93.3,93.13,93.3,208.41931941,Coinbase,LTC-USD
2024-11-27 02:24:00,92.77,93.13,92.77,93.11,199.5678587,Coinbase,LTC-USD
2024-11-27 02:23:00,92.65,92.8,92.63,92.77,57.03508525,Coinbase,LTC-USD
2024-11-27 02:22:00,92.77,92.77,92.63,92.67,142.09569966,Coinbase,LTC-USD
2024-11-27 02:21:00,92.52,92.8,92.5,92.78,87.24957002,Coinbase,LTC-USD
2024-11-27 02:20:00,92.5,92.58,92.32,92.51,331.19844933,Coinbase,LTC-USD
2024-11-27 02:19:00,92.69,92.72,92.48,92.48,67.11815871,Coinbase,LTC-USD
2024-11-27 02:18:00,92.62,92.68,92.51,92.68,130.63200063,Coinbase,LTC-USD
2024-11-27 02:17:00,92.57,92.63,92.5,92.6,191.8905546,Coinbase,LTC-USD
2024-11-27 02:16:00,92.4,92.58,92.29,92.58,255.98528925,Coinbase,LTC-USD
2024-11-27 02:15:00,92.49,92.71,92.41,92.46,247.91399992,Coinbase,LTC-USD
2024-11-27 02:14:00,92.82,92.82,92.47,92.49,236.99919594,Coinbase,LTC-USD
2024-11-27 02:13:00,92.83,92.89,92.81,92.83,53.27688422,Coinbase,LTC-USD
2024-11-27 02:12:00,92.78,92.81,92.75,92.77,121.49345932,Coinbase,LTC-USD
2024-11-27 02:11:00,92.71,92.82,92.71,92.78,102.60707675,Coinbase,LTC-USD
